algorithm_id,instance,run_idx,hv,igd_plus,spacing,spread,n_pareto,n_f1_layers,status
smsemoa,c102_21,19,1285619233.687503,405.876129,1.073346,13825.5177,105,10,ok
smsemoa,c102_21,20,1372987230.200598,175.220953,0.815648,9040.0477,105,6,ok
smsemoa,c102_21,21,1402056824.247685,289.888705,1.262729,12352.9792,105,11,ok
smsemoa,c102_21,22,1271223613.276685,331.274837,0.686967,6414.4648,105,8,ok
smsemoa,c102_21,23,1252931100.774741,340.03099,0.631565,9331.6417,105,8,ok
smsemoa,c102_21,24,1306775420.462523,431.897906,1.327379,10554.122,105,9,ok
smsemoa,c102_21,25,1431416871.284541,205.169782,1.108526,10220.1082,105,11,ok
smsemoa,c102_21,26,1428995678.24809,272.124199,1.477791,15629.8248,105,10,ok
smsemoa,c102_21,27,1286752955.209937,461.085202,1.471218,16883.1239,105,10,ok
smsemoa,c102_21,28,1369572879.611169,324.732571,2.358523,26223.6841,105,12,ok
smsemoa,c102_21,29,1622393420.790063,70.624724,2.710077,9089.5638,105,9,ok
smsemoa,c102_21,30,1255757131.092272,454.524154,2.053172,17349.441,105,8,ok
moead_ws,c103_21,1,348553655.894801,881.63552,6.04663,22249.5815,88,9,ok
moead_ws,c103_21,2,471260227.121124,628.442098,7.838924,16534.6745,90,6,ok
moead_ws,c103_21,3,398204035.395337,742.876298,5.412987,14444.2816,93,5,ok
moead_ws,c103_21,4,633611868.900619,352.881994,3.397674,10879.5979,101,7,ok
moead_ws,c103_21,5,385603703.928107,705.261578,3.392783,15663.8248,98,5,ok
moead_ws,c103_21,6,432007311.063495,740.07247,2.810163,14765.6445,91,8,ok
moead_ws,c103_21,7,517390773.540394,416.36475,9.532301,14122.2833,98,6,ok
moead_ws,c103_21,8,530984127.094694,416.616592,2.728978,9279.7284,103,6,ok
moead_ws,c103_21,9,433875454.668008,741.071075,5.978224,17474.5092,96,7,ok
moead_ws,c103_21,10,384510538.685484,675.086151,6.878009,17095.3696,99,5,ok
moead_ws,c103_21,11,439947503.838451,634.520391,4.844719,15446.4082,102,6,ok
moead_ws,c103_21,12,399335153.525711,757.857694,8.492046,21543.7153,93,7,ok
moead_ws,c103_21,13,469687160.432225,688.55154,6.813564,15469.8506,95,9,ok
moead_ws,c103_21,14,332906958.03078,1038.486469,8.923506,24938.3294,98,8,ok
moead_ws,c103_21,15,477057758.190665,659.653798,8.006374,19278.106,99,8,ok
moead_ws,c103_21,16,454023008.140286,639.373967,8.762094,20756.9498,100,8,ok
moead_ws,c103_21,17,385738645.688448,640.57814,3.042053,16893.2139,101,6,ok
moead_ws,c103_21,18,443706564.37754,651.698535,8.450702,20110.8919,95,5,ok
moead_ws,c103_21,19,358649583.880746,892.673943,7.303826,18155.7015,104,7,ok
moead_ws,c103_21,20,287987202.810174,1065.44326,3.995544,19136.054,97,6,ok
moead_ws,c103_21,21,520713219.214305,520.140004,8.190045,16251.0705,96,9,ok
moead_ws,c103_21,22,481255289.697711,603.29384,6.393193,14002.951,93,7,ok
moead_ws,c103_21,23,435698116.170933,656.873449,6.515882,14144.1919,101,8,ok
moead_ws,c103_21,24,513257298.093796,595.263799,7.339469,14912.1178,93,6,ok
moead_ws,c103_21,25,411208496.464597,797.935597,7.369441,19718.7556,102,8,ok
moead_ws,c103_21,26,422025979.040602,718.590939,3.059264,15324.8191,100,7,ok
moead_ws,c103_21,27,471436963.4648,854.994694,6.529129,15576.0494,99,9,ok
moead_ws,c103_21,28,451032697.404323,558.258778,8.990128,19318.7699,88,6,ok
moead_ws,c103_21,29,384191758.119627,811.817355,8.983997,23274.8215,104,8,ok
moead_ws,c103_21,30,429390722.149534,731.071817,2.867702,10052.8927,102,7,ok
nsga2,c103_21,1,638876590.887203,401.913215,0.466165,9547.4451,105,9,ok
nsga2,c103_21,2,604616028.88328,531.660525,1.177215,8149.4913,105,9,ok
nsga2,c103_21,3,773225691.003407,157.273214,0.798349,9743.8285,105,5,ok
nsga2,c103_21,4,613346387.354749,468.756367,0.6943,10988.3164,105,9,ok
nsga2,c103_21,5,566593219.978642,559.007245,0.664981,9974.374,105,9,ok
nsga2,c103_21,6,679627066.162984,349.202169,0.716625,9733.4211,105,8,ok
nsga2,c103_21,7,533674687.137728,743.999107,0.697556,13247.7038,105,9,ok
nsga2,c103_21,8,710188793.090674,253.866875,1.485308,10747.4959,105,9,ok
nsga2,c103_21,9,674829171.942439,361.705153,0.63785,9825.4495,105,8,ok
nsga2,c103_21,10,554534994.965826,618.282827,0.588872,13639.1168,105,9,ok
nsga2,c103_21,11,624290325.8907,400.110145,0.611507,10847.0701,105,10,ok
nsga2,c103_21,12,801952508.90533,45.518737,0.500028,2436.1544,105,5,ok
nsga2,c103_21,13,511009512.097816,652.647307,1.180314,9605.0634,105,7,ok
nsga2,c103_21,14,697852730.275587,326.698678,0.811485,8898.754,105,8,ok
nsga2,c103_21,15,665629630.501292,415.345082,0.696013,10046.4326,105,6,ok
nsga2,c103_21,16,680783847.84675,239.71725,0.560285,6814.7387,105,7,ok
nsga2,c103_21,17,580215375.80932,433.518891,0.546418,8922.0285,105,9,ok
nsga2,c103_21,18,574964426.71322,558.678495,0.894397,12718.4132,105,9,ok
nsga2,c103_21,19,555151671.736991,611.281478,0.712855,9060.9082,105,8,ok
nsga2,c103_21,20,671634102.399876,374.576162,0.637509,9656.1374,105,10,ok
