config_id,config_label,instance,run_idx,seed,n_neighbors,prob_neighbor_mating,decomposition,pbi_theta,n_evals,effective_evals,n_feasible,n_total,n_unique_obj,n_unique_feasible,n_f1_layers,best_f1,best_f2,best_f3,hv_raw,elapsed_s,timestamp,error
C8,PBI(5),c101_21,2,2002684420,10,0.9,pbi,5.0,300000,300090,105,105,22,22,2,28.0,3674.5003100145323,4894.366660309056,0.0,751.549,2026-04-11T04:33:00,
C7,prob=0.5,r201_21,4,885380233,10,0.5,tchebycheff,,300000,300090,105,105,38,38,2,12.0,2503.622817245199,174.45147754053707,0.0,813.824,2026-04-11T04:33:01,
C8,PBI(5),c101_21,1,2463879089,10,0.9,pbi,5.0,300000,300090,105,105,29,29,3,30.0,3804.686736381018,2475.317872592975,0.0,791.512,2026-04-11T04:33:30,
C8,PBI(5),c101_21,3,3310909536,10,0.9,pbi,5.0,300000,300090,105,105,29,29,2,31.0,3530.6243222578855,1837.2388943704225,0.0,728.851,2026-04-11T04:33:40,
C8,PBI(5),c101_21,4,2023586176,10,0.9,pbi,5.0,300000,300090,105,105,29,29,2,29.0,3375.739010939966,4234.820286109418,0.0,772.0,2026-04-11T04:34:42,
C8,PBI(5),c208_21,1,3010385958,10,0.9,pbi,5.0,300000,300090,105,105,36,36,1,11.0,3318.862186763412,7502.218400362829,241026786411.4881,1208.804,2026-04-11T04:42:12,
C8,PBI(5),c208_21,2,3712569903,10,0.9,pbi,5.0,300000,300090,105,105,34,34,1,10.0,3170.221197981699,3675.287739959771,255120442626.1431,1231.046,2026-04-11T04:42:49,
C8,PBI(5),c208_21,3,847167546,10,0.9,pbi,5.0,300000,300090,105,105,37,37,1,11.0,3175.5096817128533,971.8411686584993,254282559517.3095,1105.483,2026-04-11T04:43:20,
C8,PBI(5),r106_21,1,1092190053,10,0.9,pbi,5.0,300000,300090,105,105,35,35,4,31.0,2586.4129022574048,26.658526284006513,0.0,687.57,2026-04-11T04:43:24,
C8,PBI(5),r106_21,2,1880618564,10,0.9,pbi,5.0,300000,300090,105,105,44,44,3,29.0,2399.577089906919,52.19650050536718,0.0,660.975,2026-04-11T04:44:01,
C8,PBI(5),r106_21,3,4116756750,10,0.9,pbi,5.0,300000,300090,105,105,32,32,3,29.0,2514.426884968918,63.43826013400712,0.0,685.932,2026-04-11T04:44:27,
C8,PBI(5),r106_21,4,824957414,10,0.9,pbi,5.0,300000,300090,105,105,35,35,3,28.0,2522.782003748502,85.58793695933203,0.0,711.39,2026-04-11T04:45:21,
C8,PBI(5),c208_21,4,1596689505,10,0.9,pbi,5.0,300000,300090,105,105,39,39,1,11.0,3248.4323711852194,2657.5669685568737,248309551516.15372,1143.428,2026-04-11T04:45:39,
C8,PBI(5),r201_21,2,2463774773,10,0.9,pbi,5.0,300000,300090,105,105,44,44,2,12.0,2340.1168012096073,376.0131358773019,0.0,865.797,2026-04-11T04:49:08,
C8,PBI(5),r201_21,1,3058708744,10,0.9,pbi,5.0,300000,300090,105,105,43,43,1,11.0,2351.2643061108365,604.4619794753039,0.0,975.864,2026-04-11T04:49:56,
C9,WeightedSum,c101_21,1,268219211,10,0.9,weighted-sum,,300000,300090,105,105,40,40,6,16.0,2033.352928007682,3790.4328861291197,0.0,722.636,2026-04-11T04:55:23,
C9,WeightedSum,c101_21,2,2085499606,10,0.9,weighted-sum,,300000,300090,105,105,19,19,5,18.0,2221.9407891165247,2630.6611927164568,0.0,749.206,2026-04-11T04:55:53,
C8,PBI(5),r201_21,4,992882364,10,0.9,pbi,5.0,300000,300090,105,105,40,40,2,13.0,2660.2679442859253,54.933612398431194,0.0,795.01,2026-04-11T04:56:04,
C9,WeightedSum,c101_21,3,1917549210,10,0.9,weighted-sum,,300000,300090,105,105,34,34,7,20.0,2034.657609215311,5258.433538095587,0.0,764.598,2026-04-11T04:56:46,
C9,WeightedSum,c101_21,4,2542391813,10,0.9,weighted-sum,,300000,300090,105,105,37,37,6,17.0,2174.178793461723,5387.112191779048,0.0,785.733,2026-04-11T04:57:33,
C8,PBI(5),r201_21,3,2959741680,10,0.9,pbi,5.0,300000,300090,105,105,41,41,1,11.0,2752.8186181000247,1799.3252240980712,0.0,1014.413,2026-04-11T04:59:06,
C9,WeightedSum,c208_21,1,4058009754,10,0.9,weighted-sum,,300000,300090,105,105,34,34,2,6.0,1306.1836703222834,0.0,396753227664.2488,1152.36,2026-04-11T05:04:33,
C9,WeightedSum,c208_21,2,1472908342,10,0.9,weighted-sum,,300000,300090,105,105,24,24,3,6.0,1413.8283317553446,7108.7183751224065,377735766166.3662,1154.098,2026-04-11T05:04:53,
C9,WeightedSum,r106_21,1,2245589357,10,0.9,weighted-sum,,300000,300090,105,105,47,47,13,19.0,1936.0210877661366,29.139051892454653,0.0,635.496,2026-04-11T05:05:58,
C9,WeightedSum,r106_21,2,290751721,10,0.9,weighted-sum,,300000,300090,105,105,56,56,11,20.0,1875.8672538256121,22.035656329229454,0.0,659.071,2026-04-11T05:06:52,
C9,WeightedSum,r106_21,3,4136764781,10,0.9,weighted-sum,,300000,300090,105,105,49,49,12,22.0,2041.4633503974464,9.466529036199574,0.0,659.432,2026-04-11T05:07:04,
C9,WeightedSum,c208_21,3,3878019751,10,0.9,weighted-sum,,300000,300090,105,105,40,40,4,6.0,1459.2130939633626,3539.6090897964737,374970836869.03217,1105.925,2026-04-11T05:07:33,
C9,WeightedSum,r106_21,4,1685108204,10,0.9,weighted-sum,,300000,300090,105,105,49,49,11,19.0,1889.58700782456,7.945859098384432,0.0,649.878,2026-04-11T05:07:36,
