perm_id,c_f1,c_f2,c_g2,c_n_vehicles,c_total_distance,c_n_recharges,c_n_skipped,c_feasible,a_f1,a_f2,a_g2,a_n_vehicles,a_total_distance,a_n_recharges,a_n_skipped,a_feasible
65,61615.282620393664,0.01089019711791972,0.0,55,6615.282620393664,162,0,1,7269.132372026258,0.8553929125412014,129.5248497683095,2,5269.132372026258,74,0,0
66,60523.55169556353,0.010950751134444991,0.0,54,6523.551695563535,159,0,1,7500.928090252473,0.8745235571775142,54.42205975504294,2,5500.928090252473,79,0,0
67,57326.74514577239,0.0009326548781893873,0.0,51,6326.745145772387,150,0,1,7196.55169960447,0.8606418436575756,75.39339959589248,2,5196.55169960447,79,0,0
68,58236.79699107824,0.004383945866649697,0.0,52,6236.796991078241,153,0,1,6858.602517891826,0.8501496170095248,63.83466052149426,2,4858.602517891826,74,0,0
69,53017.21907755268,0.002226801190201577,0.0,47,6017.219077552687,138,0,1,7214.30949453476,0.8137669211303511,75.17171399023142,2,5214.30949453476,80,0,0
70,56993.71201434669,0.003522503109620212,0.0,51,5993.712014346688,150,0,1,7042.221863834721,0.8199780703337741,50.910658612018636,2,5042.221863834721,74,0,0
71,56170.550822917496,0.004037956691197553,0.0,50,6170.550822917495,147,0,1,7037.984511906343,0.8367056781304815,81.82404724899786,2,5037.984511906343,72,0,0
72,57153.33753609845,0.010569329045111098,0.0,51,6153.337536098453,150,0,1,6944.223587737715,0.8505130035822871,87.73852950847728,2,4944.223587737715,73,0,0
73,56941.30898261063,0.002078051417267801,0.0,51,5941.308982610629,150,0,1,7086.962390147764,0.8480591057045365,59.073862196251056,2,5086.962390147764,77,0,0
74,54964.59955222756,0.007770442811210532,0.0,49,5964.599552227559,144,0,1,7238.8226666880755,0.8166376279758256,54.203257112276575,2,5238.8226666880755,79,0,0
75,61445.783253786205,0.007691086766738575,0.0,55,6445.783253786206,162,0,1,7332.672206028108,0.8528300529405862,80.08663600982536,2,5332.672206028108,77,0,0
76,62804.595157986885,0.00043477827242721645,0.0,56,6804.595157986889,165,0,1,7504.219239819544,0.8777667418689117,17.70020952721593,2,5504.219239819544,84,0,0
77,55958.47523619534,0.0016988267875264196,0.0,50,5958.47523619534,147,0,1,7007.622047210334,0.8499868210427888,88.05464078767841,2,5007.622047210334,78,0,0
78,57277.12344746704,0.0018217082451262856,0.0,51,6277.12344746704,150,0,1,7387.061944382034,0.85629554427985,67.58498839993379,2,5387.061944382034,80,0,0
79,55260.146590624325,0.0026492855684536742,0.0,49,6260.146590624325,144,0,1,7136.359806630086,0.7944327030992799,55.73507288370261,2,5136.359806630086,79,0,0
80,59495.46372285378,0.00877966036587352,0.0,53,6495.463722853781,156,0,1,7427.658192086529,0.8617986508870645,67.63557035177882,2,5427.658192086529,81,0,0
81,49494.30079181364,0.00811008474424113,0.0,44,5494.300791813645,129,0,1,6815.235893186691,0.8652348670124174,53.72792740328885,2,4815.235893186691,72,0,0
82,62469.673254449335,0.00719534657160692,0.0,56,6469.673254449334,165,0,1,7210.152315044041,0.8541572226024015,45.74777161768611,2,5210.152315044041,81,0,0
83,51668.051545147726,0.011072783380813411,0.0,46,5668.051545147729,135,0,1,6877.164938441494,0.9032758215275025,68.52190651210194,2,4877.164938441494,78,0,0
84,50430.35164601269,0.007022154896546229,0.0,45,5430.351646012691,132,0,1,6801.193087458099,0.8192270067809987,114.56301701373158,2,4801.193087458099,72,0,0
85,60365.90503000821,0.0,0.0,54,6365.905030008212,159,0,1,7361.012980699043,0.8452656210713727,64.51558698599364,2,5361.012980699043,79,0,0
86,57172.32209876544,0.010213198153798841,0.0,51,6172.322098765443,150,0,1,7146.520878172805,0.8801063187651236,70.99869155007389,2,5146.520878172805,75,0,0
87,59551.68819622031,0.0001663767896736834,0.0,53,6551.688196220311,156,0,1,7292.525521185753,0.8496799244716609,66.69025861532964,2,5292.525521185753,77,0,0
88,57045.8920018235,0.017057019926642325,0.0,51,6045.892001823501,150,0,1,7101.278262099362,0.8440631837043301,39.548414662839505,2,5101.278262099362,80,0,0
