algorithm_id,instance,run_idx,seed,n_evals_budget,n_evals_actual,n_feasible,n_pareto,hv_quick,igd_plus_quick,best_f1,best_f2,best_f3,n_f1_layers,elapsed_seconds,timestamp_start,timestamp_end,status,pickle_path,git_commit
moead_ws,c208_21,27,1529470259,850000,850080,105,97,120190081.557848,,5.0,1260.8494,2414.7485,4,3499.073,2026-04-24T04:59:51,2026-04-24T05:58:10,ok,pickles\moead_ws\c208_21\run27.pkl,ee61198
moead_ws,c208_21,23,4158790342,850000,850080,105,104,159701401.252506,,5.0,936.4139,3261.4208,4,3418.545,2026-04-24T05:03:27,2026-04-24T06:00:26,ok,pickles\moead_ws\c208_21\run23.pkl,ee61198
smsemoa,c109_21,22,1692658693,850000,850080,102,102,35317988.245998,,12.0,1527.8263,147.3604,6,1990.543,2026-04-24T05:37:53,2026-04-24T06:11:03,ok,pickles\smsemoa\c109_21\run22.pkl,ee61198
smsemoa,c109_21,4,3381684330,850000,850080,105,105,29224457.870889,,12.0,1615.5454,599.0757,7,1959.521,2026-04-24T05:45:06,2026-04-24T06:17:46,ok,pickles\smsemoa\c109_21\run04.pkl,ee61198
nsga2,c109_21,19,2681475630,850000,850080,105,105,46907520.092979,,13.0,1724.5241,83.5742,6,1854.742,2026-04-24T05:52:37,2026-04-24T06:23:32,ok,pickles\nsga2\c109_21\run19.pkl,ee61198
nsga2,c108_21,30,760013075,850000,850080,105,105,102575741.318541,,13.0,1753.1559,719.3616,8,1831.018,2026-04-24T06:00:26,2026-04-24T06:30:57,ok,pickles\nsga2\c108_21\run30.pkl,ee61198
nsga2,c208_21,10,669003802,850000,850080,105,105,42649406.291906,,5.0,1076.9423,0.0,3,3048.912,2026-04-24T05:44:38,2026-04-24T06:35:27,ok,pickles\nsga2\c208_21\run10.pkl,ee61198
smsemoa,c208_21,13,1341148843,850000,850080,105,105,35842430.370035,,4.0,900.0245,0.0,4,3038.549,2026-04-24T05:57:32,2026-04-24T06:48:11,ok,pickles\smsemoa\c208_21\run13.pkl,ee61198
nsga2,c109_21,18,2394302273,850000,850080,105,105,39275691.611769,,12.0,1661.1988,310.1642,6,1868.001,2026-04-24T06:17:46,2026-04-24T06:48:54,ok,pickles\nsga2\c109_21\run18.pkl,ee61198
moead_ws,c208_21,7,943285859,850000,850080,105,102,220149294.251315,,5.0,979.4076,7493.5722,3,3877.697,2026-04-24T05:46:16,2026-04-24T06:50:54,ok,pickles\moead_ws\c208_21\run07.pkl,ee61198
smsemoa,c208_21,20,1121678884,850000,850080,105,105,19258013.475368,,4.0,1049.7759,0.0,3,3237.392,2026-04-24T05:58:10,2026-04-24T06:52:08,ok,pickles\smsemoa\c208_21\run20.pkl,ee61198
nsga2,c109_21,3,852809292,850000,850080,105,105,81566449.811716,,12.0,1745.3086,19.1521,9,1857.633,2026-04-24T06:23:32,2026-04-24T06:54:29,ok,pickles\nsga2\c109_21\run03.pkl,ee61198
nsga2,c208_21,9,4135660694,850000,850080,105,105,32015261.617788,,5.0,974.2592,0.0,3,3060.707,2026-04-24T06:11:03,2026-04-24T07:02:04,ok,pickles\nsga2\c208_21\run09.pkl,ee61198
nsga2,c109_21,4,3514467386,850000,850080,105,105,83360184.701965,,13.0,1714.7257,102.3805,6,1882.843,2026-04-24T06:30:57,2026-04-24T07:02:20,ok,pickles\nsga2\c109_21\run04.pkl,ee61198
smsemoa,c108_21,12,2665047416,850000,850080,105,105,81716433.394736,,13.0,1557.5821,381.538,8,1818.201,2026-04-24T06:35:27,2026-04-24T07:05:45,ok,pickles\smsemoa\c108_21\run12.pkl,ee61198
nsga2,c109_21,26,2030947780,850000,850080,105,105,28590762.551858,,13.0,1613.0908,30.1959,5,1877.137,2026-04-24T06:48:11,2026-04-24T07:19:28,ok,pickles\nsga2\c109_21\run26.pkl,ee61198
