algorithm,generation,n_eval,n_feasible,best_f1,best_f2,best_f3,mean_f1_feas,mean_f2_feas,mean_f3_feas,min_cv_pop
MOEA/D,97,10185,105,63.0000,4129.1611,1174.5529,63.6571,4144.6256,1174.5529,0.000000
MOEA/D,98,10290,105,63.0000,4129.1611,1174.5529,63.6952,4143.6500,1174.5529,0.000000
MOEA/D,99,10395,105,63.0000,4121.0126,1174.5529,63.6286,4138.9393,1174.5529,0.000000
MOEA/D,100,10500,105,62.0000,4111.9452,1174.5529,63.4095,4133.1624,1174.5529,0.000000
SMS-EMOA,1,100,1,85.0000,5342.0094,1174.5529,85.0000,5342.0094,1174.5529,0.000000
SMS-EMOA,2,200,6,85.0000,5342.0094,1174.5529,89.3333,5490.4366,1191.8863,0.000000
SMS-EMOA,3,300,11,83.0000,5305.3034,1174.5529,88.4545,5491.8656,1199.0924,0.000000
SMS-EMOA,4,400,18,83.0000,5305.3034,1174.5529,89.0556,5512.7754,1194.5006,0.000000
SMS-EMOA,5,500,33,82.0000,5305.3034,1174.5529,88.7576,5504.6707,1195.0885,0.000000
SMS-EMOA,6,600,49,82.0000,5305.3034,1174.5529,88.6735,5508.0414,1194.0772,0.000000
SMS-EMOA,7,700,65,82.0000,5305.3034,1174.5529,88.6462,5515.8956,1194.3992,0.000000
SMS-EMOA,8,800,81,82.0000,5260.1386,1174.5529,87.9259,5492.9811,1194.1757,0.000000
SMS-EMOA,9,900,83,82.0000,5245.5277,1174.5529,87.0361,5463.5744,1195.9412,0.000000
SMS-EMOA,10,1000,80,82.0000,5245.5277,1174.5529,86.1500,5430.0983,1198.3718,0.000000
SMS-EMOA,11,1100,86,81.0000,5245.5277,1174.5529,85.8372,5419.9251,1197.4636,0.000000
SMS-EMOA,12,1200,89,80.0000,5211.0684,1174.5529,85.0337,5390.2676,1199.8126,0.000000
SMS-EMOA,13,1300,90,80.0000,5211.0684,1174.5529,84.6222,5371.0247,1196.7600,0.000000
SMS-EMOA,14,1400,87,78.0000,5191.2317,1174.5529,83.9310,5352.2276,1196.2212,0.000000
SMS-EMOA,15,1500,88,78.0000,5104.2251,1174.5529,83.2955,5335.7653,1198.8797,0.000000
SMS-EMOA,16,1600,91,78.0000,5104.2251,1174.5529,82.8462,5320.3520,1196.6361,0.000000
SMS-EMOA,17,1700,94,78.0000,5104.2251,1174.5529,82.6064,5308.2379,1196.2877,0.000000
SMS-EMOA,18,1800,97,77.0000,5104.2251,1174.5529,82.3505,5299.9369,1195.4987,0.000000
SMS-EMOA,19,1900,96,77.0000,5104.2251,1174.5529,82.0000,5287.3498,1195.0302,0.000000
SMS-EMOA,20,2000,96,77.0000,5104.2251,1174.5529,81.6562,5274.5668,1195.4103,0.000000
SMS-EMOA,21,2100,96,77.0000,5034.6239,1174.5529,81.2396,5258.3351,1195.8272,0.000000
SMS-EMOA,22,2200,93,76.0000,5034.6239,1174.5529,80.7849,5247.5928,1197.5037,0.000000
SMS-EMOA,23,2300,96,76.0000,5034.6239,1174.5529,80.5729,5236.3059,1196.6992,0.000000
SMS-EMOA,24,2400,95,75.0000,5034.6239,1174.5529,80.4000,5228.6172,1197.6142,0.000000
SMS-EMOA,25,2500,93,75.0000,5034.6239,1174.5529,80.2366,5219.8590,1195.5067,0.000000
SMS-EMOA,26,2600,92,75.0000,4995.3377,1174.5529,79.9891,5208.9965,1196.1732,0.000000
SMS-EMOA,27,2700,90,75.0000,4957.5304,1174.5529,79.7333,5196.1828,1193.9548,0.000000
SMS-EMOA,28,2800,91,74.0000,4957.5304,1174.5529,79.3736,5187.4240,1193.1117,0.000000
SMS-EMOA,29,2900,91,74.0000,4955.0176,1174.5529,79.0220,5174.6673,1192.4876,0.000000
SMS-EMOA,30,3000,90,74.0000,4955.0176,1174.5529,78.8333,5165.1313,1191.8502,0.000000
SMS-EMOA,31,3100,89,74.0000,4955.0176,1174.5529,78.4494,5156.3224,1191.7391,0.000000
SMS-EMOA,32,3200,88,72.0000,4955.0176,1174.5529,77.8977,5141.2516,1191.3090,0.000000
SMS-EMOA,33,3300,86,72.0000,4904.1150,1174.5529,77.4302,5120.4692,1189.2450,0.000000
SMS-EMOA,34,3400,85,72.0000,4904.1150,1174.5529,77.1412,5115.3846,1188.1822,0.000000
SMS-EMOA,35,3500,88,72.0000,4904.1150,1174.5529,76.9318,5112.2561,1188.3407,0.000000
SMS-EMOA,36,3600,87,67.0000,4904.1150,1174.5529,76.6322,5098.3901,1187.1231,0.000000
SMS-EMOA,37,3700,89,67.0000,4872.9174,1174.5529,76.4719,5095.6592,1187.4095,0.000000
SMS-EMOA,38,3800,90,67.0000,4872.9174,1174.5529,76.3556,5091.6787,1186.9447,0.000000
SMS-EMOA,39,3900,93,67.0000,4872.9174,1174.5529,75.9677,5083.5176,1186.8345,0.000000
SMS-EMOA,40,4000,93,67.0000,4872.9174,1174.5529,75.7849,5072.5514,1188.0670,0.000000
SMS-EMOA,41,4100,90,67.0000,4872.9174,1174.5529,75.6111,5065.2629,1187.6238,0.000000
SMS-EMOA,42,4200,88,67.0000,4872.9174,1174.5529,75.3864,5063.4558,1188.7398,0.000000
SMS-EMOA,43,4300,86,67.0000,4872.9174,1174.5529,75.0930,5053.6327,1187.8579,0.000000
SMS-EMOA,44,4400,84,67.0000,4872.9174,1174.5529,74.9524,5052.3918,1188.1746,0.000000
