algorithm,generation,n_eval,n_feasible,best_f1,best_f2,best_f3,mean_f1_feas,mean_f2_feas,mean_f3_feas,min_cv_pop
MOEA/D,28,2940,105,5.0000,458.2680,1162.8058,5.0952,460.4885,1168.4666,0.000000
MOEA/D,29,3045,105,5.0000,458.2680,1162.8058,5.0952,460.4885,1168.4666,0.000000
MOEA/D,30,3150,105,5.0000,458.2680,1162.8058,5.0952,460.4885,1168.4666,0.000000
MOEA/D,31,3255,105,5.0000,458.2680,1162.8058,5.0952,460.6113,1168.4137,0.000000
MOEA/D,32,3360,105,5.0000,458.2680,1162.8058,5.0952,460.6113,1168.4137,0.000000
MOEA/D,33,3465,105,5.0000,458.2680,1162.8058,5.0190,460.1039,1168.2023,0.000000
MOEA/D,34,3570,105,5.0000,458.2680,1162.8058,5.0190,460.1039,1168.2023,0.000000
MOEA/D,35,3675,105,5.0000,458.2680,1162.8058,5.0190,459.5513,1168.4401,0.000000
MOEA/D,36,3780,105,5.0000,458.2680,1162.8058,5.0190,459.5513,1168.4401,0.000000
MOEA/D,37,3885,105,5.0000,458.2680,1162.8058,5.0190,459.5513,1168.4401,0.000000
MOEA/D,38,3990,105,5.0000,458.2680,1162.8058,5.0190,459.5513,1168.4401,0.000000
MOEA/D,39,4095,105,5.0000,458.2680,1162.8058,5.0190,459.5513,1168.4401,0.000000
MOEA/D,40,4200,105,5.0000,458.2680,1162.8058,5.0190,459.5513,1168.4401,0.000000
MOEA/D,41,4305,105,5.0000,458.2680,1162.8058,5.0000,458.7592,1165.3695,0.000000
MOEA/D,42,4410,105,5.0000,458.2680,1162.8058,5.0000,458.7592,1165.3695,0.000000
MOEA/D,43,4515,105,5.0000,458.2680,1162.8058,5.0000,458.7592,1165.3695,0.000000
MOEA/D,44,4620,105,5.0000,458.2680,1162.8058,5.0000,458.7592,1165.3695,0.000000
MOEA/D,45,4725,105,5.0000,458.2680,1162.8058,5.0000,458.7592,1165.3695,0.000000
MOEA/D,46,4830,105,5.0000,458.2680,1162.8058,5.0000,458.7592,1165.3695,0.000000
MOEA/D,47,4935,105,5.0000,458.2680,1162.8058,5.0000,458.7592,1165.3695,0.000000
MOEA/D,48,5040,105,5.0000,458.2680,1162.8058,5.0000,459.1276,1165.2110,0.000000
MOEA/D,49,5145,105,5.0000,458.2680,1162.8058,5.0000,459.1276,1165.2110,0.000000
MOEA/D,50,5250,105,5.0000,458.2680,1162.8058,5.0000,459.1276,1165.2110,0.000000
MOEA/D,51,5355,105,5.0000,458.2680,1162.8058,5.0000,459.0662,1165.2374,0.000000
MOEA/D,52,5460,105,5.0000,458.2680,1162.8058,5.0000,459.0662,1165.2374,0.000000
MOEA/D,53,5565,105,4.0000,447.1985,1162.8058,4.9333,458.3282,1166.8908,0.000000
MOEA/D,54,5670,105,4.0000,447.1985,1162.8058,4.9333,458.0212,1167.0229,0.000000
MOEA/D,55,5775,105,4.0000,447.1985,1162.8058,4.9333,457.8370,1167.1022,0.000000
MOEA/D,56,5880,105,4.0000,447.1985,1162.8058,4.9333,457.8370,1167.1022,0.000000
MOEA/D,57,5985,105,4.0000,447.1985,1162.8058,4.9333,457.6528,1167.1815,0.000000
MOEA/D,58,6090,105,4.0000,447.1985,1162.8058,4.9333,457.6528,1167.1815,0.000000
MOEA/D,59,6195,105,4.0000,447.1985,1162.8058,4.9333,457.6528,1167.1815,0.000000
MOEA/D,60,6300,105,4.0000,447.1985,1162.8058,4.9333,457.6528,1167.1815,0.000000
MOEA/D,61,6405,105,4.0000,447.1985,1162.8058,4.9333,457.6528,1167.1815,0.000000
MOEA/D,62,6510,105,4.0000,447.1985,1162.8058,4.9333,457.6528,1167.1815,0.000000
MOEA/D,63,6615,105,4.0000,447.1985,1162.8058,4.9333,457.6528,1167.1815,0.000000
MOEA/D,64,6720,105,4.0000,447.1985,1162.8058,4.9333,457.6528,1167.1815,0.000000
MOEA/D,65,6825,105,4.0000,447.1985,1162.8058,4.9333,457.6528,1167.1815,0.000000
MOEA/D,66,6930,105,4.0000,447.1985,1162.8058,4.9333,457.6528,1167.1815,0.000000
MOEA/D,67,7035,105,4.0000,447.1985,1162.8058,4.9333,457.6528,1167.1815,0.000000
MOEA/D,68,7140,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,69,7245,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,70,7350,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,71,7455,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,72,7560,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,73,7665,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,74,7770,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,75,7875,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,76,7980,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,77,8085,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,78,8190,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,79,8295,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,80,8400,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,81,8505,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,82,8610,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,83,8715,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,84,8820,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,85,8925,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,86,9030,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,87,9135,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,88,9240,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,89,9345,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
