task_id,algorithm_id,config_idx,instance,seed,pc,pm,n_neighbors,prob_neighbor_mating,decomposition,ref_dirs_method,pbi_theta,n_evals_budget,n_feasible,n_pareto,hv_local,best_f1,best_f2,best_f3,elapsed_s,status,front_path
426,moead_ws,8,rc101_21,2024440039,0.596,0.20474,25,0.8044,tchebycheff,das-dennis,,400000,105,104,23830407.24,28.00,2965.55,466.63,778.3,ok,fronts/moead_ws__rc101_21__cfg08.pkl
422,nsga2,33,rc201_21,1286426222,0.6347,0.02351,,,,,,400000,105,105,49386774.78,7.00,1765.92,9.10,975.9,ok,fronts/nsga2__rc201_21__cfg33.pkl
398,nsga2,35,rc101_21,1197190476,0.0308,0.01207,,,,,,400000,105,105,24017139.38,21.00,2370.40,19.67,1516.6,ok,fronts/nsga2__rc101_21__cfg35.pkl
438,nsga2,10,rc101_21,3188404127,0.8276,0.0367,,,,,,400000,105,105,18053360.79,22.00,2471.68,9.79,629.6,ok,fronts/nsga2__rc101_21__cfg10.pkl
442,moead_ws,8,r101_21,3703946071,0.596,0.20474,25,0.8044,tchebycheff,das-dennis,,400000,105,102,25756644.7,30.00,2408.16,344.46,775.2,ok,fronts/moead_ws__r101_21__cfg08.pkl
434,smsemoa,31,r101_21,3240692557,0.1077,0.18581,,,,,,400000,105,105,26409508.08,24.00,2066.27,101.44,906.6,ok,fronts/smsemoa__r101_21__cfg31.pkl
458,nsga2,47,rc101_21,809624891,0.4462,0.00879,,,,,,400000,105,105,18160757.25,22.00,2418.07,12.59,660.9,ok,fronts/nsga2__rc101_21__cfg47.pkl
446,moead_ws,12,rc101_21,129455345,0.4539,0.00411,22,0.2367,pbi,energy,8.349,400000,105,102,1121067.22,45.00,4730.19,2081.08,939.9,ok,fronts/moead_ws__rc101_21__cfg12.pkl
430,nsga2,6,r201_21,816062688,0.3708,0.19756,,,,,,400000,105,105,47777797.39,5.00,1209.44,1.61,1268.4,ok,fronts/nsga2__r201_21__cfg06.pkl
450,moead_ws,14,rc101_21,3198971236,0.3103,0.00227,21,0.921,tchebycheff,das-dennis,,400000,105,101,6183283.19,36.00,3965.43,833.12,837.8,ok,fronts/moead_ws__rc101_21__cfg14.pkl
466,nsga2,5,r101_21,1240936555,0.1281,0.01305,,,,,,400000,105,105,25586471.52,22.00,2089.23,24.88,890.4,ok,fronts/nsga2__r101_21__cfg05.pkl
462,moead_ws,12,c101_21,478762509,0.4539,0.00411,22,0.2367,pbi,energy,8.349,400000,105,105,4019427.94,29.00,4214.59,25524.34,1037.0,ok,fronts/moead_ws__c101_21__cfg12.pkl
494,nsga2,44,c101_21,4203071041,0.7224,0.01394,,,,,,400000,105,105,46517742.6,16.00,1803.38,2465.76,740.7,ok,fronts/nsga2__c101_21__cfg44.pkl
490,moead_ws,50,rc101_21,3681401040,0.2018,0.00204,22,0.5045,tchebycheff,energy,,400000,105,97,9173949.04,36.00,3778.79,677.72,773.2,ok,fronts/moead_ws__rc101_21__cfg50.pkl
454,smsemoa,28,c201_21,2854677249,0.1086,0.04626,,,,,,400000,105,105,140577342.1,5.00,1420.45,3747.46,1579.1,ok,fronts/smsemoa__c201_21__cfg28.pkl
470,nsga2,46,r201_21,75960598,0.1523,0.05307,,,,,,400000,105,105,27520758.13,5.00,1381.64,0.00,1286.0,ok,fronts/nsga2__r201_21__cfg46.pkl
474,nsga2,39,c201_21,3881150498,0.2936,0.04362,,,,,,400000,105,105,168933191.42,5.00,1202.43,3526.82,1181.1,ok,fronts/nsga2__c201_21__cfg39.pkl
502,smsemoa,29,r101_21,1860010743,0.2812,0.043,,,,,,400000,105,105,32480086.53,21.00,1953.70,126.41,749.3,ok,fronts/smsemoa__r101_21__cfg29.pkl
498,moead_ws,36,rc101_21,255397488,0.7743,0.046,12,0.3336,pbi,energy,7.863,400000,105,102,858340.79,41.00,4114.74,673.28,815.0,ok,fronts/moead_ws__rc101_21__cfg36.pkl
486,nsga2,8,rc201_21,3908073137,0.4434,0.00366,,,,,,400000,105,105,72282021.73,8.00,2135.10,1076.97,1248.3,ok,fronts/nsga2__rc201_21__cfg08.pkl
482,smsemoa,27,rc201_21,1929681256,0.1402,0.02357,,,,,,400000,105,105,45698864.91,6.00,1795.63,139.06,1371.1,ok,fronts/smsemoa__rc201_21__cfg27.pkl
518,smsemoa,41,rc101_21,3421579060,0.8908,0.16337,,,,,,400000,105,105,35253940.58,21.00,2438.82,29.93,643.9,ok,fronts/smsemoa__rc101_21__cfg41.pkl
510,nsga2,40,c101_21,3112091578,0.557,0.08746,,,,,,400000,105,105,124504630.86,15.00,1853.78,1609.41,743.7,ok,fronts/nsga2__c101_21__cfg40.pkl
478,moead_ws,31,c201_21,1209747922,0.8009,0.02955,13,0.7951,pbi,energy,3.28,400000,105,105,2364860.56,13.00,3135.58,58015.47,1726.0,ok,fronts/moead_ws__c201_21__cfg31.pkl
530,nsga2,42,c101_21,2751725644,0.814,0.00259,,,,,,400000,105,105,84525261.23,15.00,1961.25,3894.23,699.3,ok,fronts/nsga2__c101_21__cfg42.pkl
506,nsga2,22,r201_21,2504646486,0.7003,0.00594,,,,,,400000,105,105,17617092.94,5.00,1361.14,38.88,1125.8,ok,fronts/nsga2__r201_21__cfg22.pkl
514,smsemoa,7,c201_21,24797338,0.306,0.02721,,,,,,400000,105,105,121303467.72,5.00,1423.16,8529.33,1283.1,ok,fronts/smsemoa__c201_21__cfg07.pkl
546,nsga2,41,r101_21,2540248999,0.6643,0.01015,,,,,,400000,105,105,67933192.95,22.00,1984.93,8.08,624.3,ok,fronts/nsga2__r101_21__cfg41.pkl
534,nsga2,45,c101_21,2860492844,0.1613,0.01742,,,,,,400000,105,105,132466232.34,16.00,1996.98,2488.11,925.7,ok,fronts/nsga2__c101_21__cfg45.pkl
542,smsemoa,37,rc101_21,483382731,0.256,0.2083,,,,,,400000,105,105,42108011.63,21.00,2409.99,54.57,771.7,ok,fronts/smsemoa__rc101_21__cfg37.pkl
526,nsga2,17,r201_21,1141540450,0.3258,0.00827,,,,,,400000,105,104,13472138.42,7.00,1682.32,144.58,1195.9,ok,fronts/nsga2__r201_21__cfg17.pkl
538,smsemoa,40,rc201_21,4246142638,0.8917,0.07151,,,,,,400000,105,105,27287739.81,7.00,1951.23,1272.43,1105.3,ok,fronts/smsemoa__rc201_21__cfg40.pkl
522,moead_ws,14,c201_21,1366788855,0.3103,0.00227,21,0.921,tchebycheff,das-dennis,,400000,105,104,12523399.56,8.00,2782.70,45490.28,1415.9,ok,fronts/moead_ws__c201_21__cfg14.pkl
550,smsemoa,32,c101_21,3375220527,0.2302,0.00124,,,,,,400000,105,105,84368339.93,15.00,1941.16,1221.14,897.9,ok,fronts/smsemoa__c101_21__cfg32.pkl
554,nsga2,18,r101_21,2366316266,0.4696,0.00295,,,,,,400000,105,105,20241386.35,21.00,1917.36,27.62,653.4,ok,fronts/nsga2__r101_21__cfg18.pkl
558,smsemoa,24,rc201_21,2472905091,0.3316,0.01949,,,,,,400000,105,105,45839036.87,7.00,1799.71,71.25,1059.9,ok,fronts/smsemoa__rc201_21__cfg24.pkl
574,nsga2,28,c101_21,1916704375,0.7052,0.08589,,,,,,400000,105,105,102233449.63,14.00,1736.62,1001.81,696.2,ok,fronts/nsga2__c101_21__cfg28.pkl
562,smsemoa,14,rc201_21,1981258367,0.3299,0.00228,,,,,,400000,105,105,30871050.71,8.00,1780.19,118.57,1079.1,ok,fronts/smsemoa__rc201_21__cfg14.pkl
578,moead_ws,46,r101_21,1056534218,0.2408,0.00226,3,0.7768,pbi,das-dennis,9.196,400000,105,100,1463611.52,44.00,3637.21,1336.80,836.9,ok,fronts/moead_ws__r101_21__cfg46.pkl
566,smsemoa,10,c201_21,1962941654,0.4321,0.0358,,,,,,400000,105,105,159457535.42,5.00,1230.09,1089.87,1157.9,ok,fronts/smsemoa__c201_21__cfg10.pkl
570,moead_ws,14,rc201_21,3119068680,0.3103,0.00227,21,0.921,tchebycheff,das-dennis,,400000,105,104,19300151.33,14.00,3661.21,4999.52,1282.2,ok,fronts/moead_ws__rc201_21__cfg14.pkl
590,smsemoa,27,c101_21,569703248,0.1402,0.02357,,,,,,400000,105,105,80863746.43,15.00,1903.11,4026.33,1091.0,ok,fronts/smsemoa__c101_21__cfg27.pkl
610,nsga2,25,rc101_21,1053901023,0.6825,0.00222,,,,,,400000,105,105,19838454.68,21.00,2363.39,15.90,642.8,ok,fronts/nsga2__rc101_21__cfg25.pkl
